order	pop	samp	phot	cp	mt	nt	comment	sample_C13	C13	C13_con	str
329	JKO-23	JKO-23-02	Int	BC	bc	II	NA	JKO-23-02	-19.82	Non-C4	b104
330	JKO-23	JKO-23-03	Int	BC	bc	II	NA	JKO-23-03	-21.35	Non-C4	b105
331	JKO-23	JKO-23-04	Int	BC	bc	II	NA	JKO-23-04	-21.85	Non-C4	b106
332	JKO-23	JKO-23-05	Int	BC	bc	II	NA	JKO-23-05	-22.05	Non-C4	b107
333	JKO-24	JKO-24-01	C4	E	fg	IIIb	NA	JKO-24-01	-12.9	C4	d016
334	JKO-24	JKO-24-02	C4	E	fg	IIIb	NA	JKO-24-02	-11.81	C4	d017
335	JKO-24	JKO-24-03	C4	E	fg	IIIb	NA	JKO-24-03	-12.86	C4	d018
336	JKO-24	JKO-24-04	C4	E	fg	IIIb	NA	JKO-24-04	-11.71	C4	d019
337	JKO-25	JKO-25-01	C4	E	fg	IIIb	NA	JKO-25-01	-10.42	C4	d020
338	JKO-25	JKO-25-02	C4	E	fg	IIIb	NA	JKO-25-02	-10.93	C4	d021
339	JKO-25	JKO-25-03	C4	E	fg	IIIb	NA	JKO-25-03	-11.62	C4	d022
340	JKO-25	JKO-25-04	C4	E	fg	IIIb	NA	JKO-25-04	-10.57	C4	d023
341	JKO-25	JKO-25-05	C4	E	fg	IIIb	NA	JKO-25-05	-19.95	Non-C4	d024
342	ZAM17-12	ZAM17-12-01	C4	FG	fg	IIIa	NA	ZAM17-12-01	-12.19	C4	c095
343	ZAM17-12	ZAM17-12-02	C4	FG	fg	IIIa	NA	ZAM17-12-02	-12.63	C4	c096
344	ZAM17-12	ZAM17-12-03	C4	FG	fg	IIIa	NA	ZAM17-12-03	-12.81	C4	c097
345	ZAM17-12	ZAM17-12-04	C4	FG	fg	IIIa	NA	ZAM17-12-04	-12.26	C4	c098
346	ZAM17-12	ZAM17-12-05	C4	FG	fg	IIIa	NA	ZAM17-12-05	-13.1	C4	c099
347	ZAM17-14	ZAM17-14-01	C4	E	fg	IIIb	NA	ZAM17-14-01	-13.59	C4	d118
348	ZAM17-15	ZAM17-15-04	Int	BC	bc	II	NA	ZAM17-15-04	-20.79	Non-C4	b045
349	ZAM17-15	ZAM17-15-05	C4	E	fg	IIIb	NA	ZAM17-15-05	-12.22	C4	d125
350	ZAM17-21	ZAM17-21-01	C4	E	fg	IIIb	NA	ZAM17-21-01	-12.33	C4	d134
351	ZAM17-21	ZAM17-21-02	C4	E	fg	IIIb	NA	ZAM17-21-02	-12.06	C4	d135
352	ZAM17-21	ZAM17-21-03	C4	E	fg	IIIb	NA	ZAM17-21-03	-11.9	C4	d136
353	ZAM17-21	ZAM17-21-04	C4	E	fg	IIIb	NA	ZAM17-21-04	-12.05	C4	d137
354	ZAM17-21	ZAM17-21-10	C4	E	fg	IIIb	NA	ZAM17-21-10	-11.37	C4	d138
355	ZAM17-23	ZAM17-23-01	Int	BC	bc	II	NA	ZAM17-23-01	-20.88	Non-C4	b053
356	ZAM17-23	ZAM17-23-02	Int	BC	bc	II	NA	ZAM17-23-02	-21.77	Non-C4	b054
357	ZAM17-23	ZAM17-23-03	Int	BC	bc	II	NA	ZAM17-23-03	-21.03	Non-C4	b055
358	ZAM17-23	ZAM17-23-04	Int	BC	bc	II	NA	ZAM17-23-04	-22.15	Non-C4	b056
359	ZAM17-23	ZAM17-23-10	Int	BC	bc	II	NA	ZAM17-23-10	-22.46	Non-C4	b057
360	ZAM17-24	ZAM17-24-01	C4	E	fg	IIIb	NA	ZAM17-24-01	-10.76	C4	d139
361	ZAM17-24	ZAM17-24-02	C4	E	fg	IIIb	NA	ZAM17-24-02	-11.76	C4	d140
362	ZAM17-24	ZAM17-24-03	C4	E	fg	IIIb	NA	ZAM17-24-03	-11.52	C4	d141
363	ZAM17-24	ZAM17-24-04	C4	E	fg	IIIb	NA	ZAM17-24-04	-11.53	C4	d142
364	ZAM17-24	ZAM17-24-10	C4	E	fg	IIIb	NA	ZAM17-24-10	-12.27	C4	d143
365	ZAM17-25	ZAM17-25-01	C4	E	fg	IIIb	NA	ZAM17-25-01	-11.63	C4	d144
366	ZAM17-25	ZAM17-25-02	C4	E	fg	IIIb	NA	ZAM17-25-02	-11.49	C4	d145
367	ZAM17-25	ZAM17-25-03	C4	E	fg	IIIb	NA	ZAM17-25-03	-11.24	C4	d146
368	ZAM17-25	ZAM17-25-04	C4	E	fg	IIIb	NA	ZAM17-25-04	-10.74	C4	d147
369	ZAM17-25	ZAM17-25-05	C4	E	fg	IIIb	NA	ZAM17-25-05	-10.84	C4	d148
370	ZAM17-26	ZAM17-26-01	C4	FG	fg	IIIa	NA	ZAM17-26-01	-12.53	C4	c100
371	ZAM17-26	ZAM17-26-02	C4	FG	fg	IIIa	NA	ZAM17-26-02	-12.78	C4	c101
372	ZAM17-26	ZAM17-26-03	C4	FG	fg	IIIa	NA	ZAM17-26-03	-12.34	C4	c102
373	ZAM17-26	ZAM17-26-04	C4	FG	fg	IIIa	NA	ZAM17-26-04	-13.44	C4	c103
374	ZAM17-26	ZAM17-26-05	C4	FG	fg	IIIa	NA	ZAM17-26-05	-13.24	C4	c104
375	ZAM17-27	ZAM17-27-01	C4	E	fg	IIIb	NA	ZAM17-27-01	-11.52	C4	d149
376	ZAM17-27	ZAM17-27-02	C4	E	fg	IIIb	NA	ZAM17-27-02	-10.3	C4	d150
377	ZAM17-27	ZAM17-27-03	C4	E	fg	IIIb	NA	ZAM17-27-03	-11.55	C4	d151
378	ZAM17-27	ZAM17-27-04	C4	E	fg	IIIb	NA	ZAM17-27-04	-12.2	C4	d152
379	ZAM17-27	ZAM17-27-10	C4	E	fg	IIIb	NA	ZAM17-27-10	-11.42	C4	d153
380	ZAM17-28	ZAM17-28-01	C4	E	fg	IIIb	NA	ZAM17-28-01	-10.43	C4	d154
381	ZAM17-28	ZAM17-28-02	C4	E	fg	IIIb	NA	ZAM17-28-02	-10.38	C4	d155
382	ZAM17-28	ZAM17-28-03	C4	E	fg	IIIb	NA	ZAM17-28-03	-10.95	C4	d156
383	ZAM17-28	ZAM17-28-04	C4	E	fg	IIIb	NA	ZAM17-28-04	-11.66	C4	d157
384	ZAM17-28	ZAM17-28-05	C4	E	fg	IIIb	NA	ZAM17-28-05	-11.92	C4	d158
385	ZAM15-03	ZAM15-03-01	Int	BC	bc	II	NA	ZAM15-03-01	-22.33	Non-C4	b030
386	ZAM15-03	ZAM15-03-24	Int	BC	bc	II	Int,melandcen?	ZAM15-03-24	-21.42	Non-C4	b035
387	ZAM15-03	ZAM15-03-53	C4	E	fg	IIIb	NA	ZAM15-03-53	-13.98	C4	d050
388	ZAM15-03	ZAM15-03-56	C4	E	fg	IIIb	NA	ZAM15-03-56	-15.45	C4	d051
389	ZAM15-03	ZAM15-03-57	C4	E	fg	IIIb	NA	ZAM15-03-57	-14.17	C4	d052
390	ZAM15-03	ZAM15-03-61	C4	E	fg	IIIb	NA	ZAM15-03-61	-14.88	C4	d053
391	ZAM15-07	ZAM15-07-04	C4	E	fg	IIIb	NA	ZAM15-07-04	-12.06	C4	d064
392	ZAM15-07	ZAM15-07-11	C4	E	fg	IIIb	NA	ZAM15-07-11	-12.68	C4	d065
393	ZAM15-07	ZAM15-07-16	C4	E	fg	IIIb	C4,havecenbutmissmel	ZAM15-07-16	-13.19	C4	d066
394	ZAM15-07	ZAM15-07-17	C4	E	fg	IIIb	NA	ZAM15-07-17	-12.23	C4	d067
395	ZAM15-07	ZAM15-07-20	C4	E	fg	IIIb	NA	ZAM15-07-20	-12.87	C4	d068
396	ZAM15-07	ZAM15-07-64	C4	E	fg	IIIb	C4,havecenbutmissmel	ZAM15-07-64	-12.83	C4	d069
397	ZAM15-07	ZAM15-07-66	C4	E	fg	IIIb	C4,havecenbutmissmel	ZAM15-07-66	-12.47	C4	d070
398	ZAM15-07	ZAM15-07-77	C4	E	fg	IIIb	C4,havecenbutmissmel	ZAM15-07-77	-12.51	C4	d071
399	ZIM15-02	ZIM15-02-14	C3	A	a	I	NA	ZIM15-02-14	-28.06	Non-C4	a059
400	CAM16-01	CAM16-01-03	C4	E	fg	IV	NA	CAM15-01-03	-12.3	C4	e001
401	CAM16-01	CAM16-01-05	C4	E	fg	IV	NA	CAM15-01-05	-13.69	C4	e002
402	CAM16-01	CAM16-01-07	C4	E	fg	IV	NA	CAM15-01-07	-13.33	C4	e003
403	CAM16-01	CAM16-01-09	C4	E	fg	IV	NA	CAM15-01-09	-11.98	C4	e004
404	GB61_2014	GB61_2014_19	C4	D	d	IV	NA	GB61.2014_19	-12.89	C4	e015
405	GB61_2014	GB61_2014_22	C4	D	d	IV	NA	GB61.2014_22	-12.94	C4	e016
406	GB61_2014	GB61_2014_30	C4	D	d	IV	NA	GB61.2014_30	-12.17	C4	e017
407	GB61_201	GB61_2014_4	C4	D	d	IV	NA	GB61.2014_4	-12.11	C4	e014
408	L01	L01-1	Int	BC	bc	II	NA	L01P1	-24.13	Non-C4	b006
409	L01	L01-2	Int	BC	bc	II	NA	L01P2	-25.64	Non-C4	b007
410	L01	L01-3	Int	BC	bc	II	NA	L01P3	-26.82	Non-C4	b008
411	L01	L01-4	Int	BC	bc	II	NA	L01P4	-24.59	Non-C4	b009
412	L01	L01-5	Int	BC	bc	II	NA	L01P5	-27.42	Non-C4	b010
413	L04	L04B	Int	BC	bc	II	NA	L04 B	-23.9	Non-C4	b002
414	L04	L04C	Int	BC	bc	II	NA	L04 C	-23.33	Non-C4	b003
415	L04	L04D	Int	BC	bc	II	NA	L04-D	-26.74	Non-C4	b004
416	L04	L04E	Int	BC	bc	II	NA	L04-E	-23.73	Non-C4	b005
417	MDB	MDB-2	C3	A	a	I	NA	MDB-2	-27.72	Non-C4	a031
418	MDB	MDB-3	C3	A	a	I	NA	MDB-3	-26.04	Non-C4	a032
419	MDB	MDB-4	C3	A	a	I	NA	MDB-4	-26.19	Non-C4	a033
420	MDB	MDB-5	C3	A	a	I	NA	MDB-5	-27.28	Non-C4	a034
421	SFB	SFB-1	C3	A	a	I	NA	SFB-1	-24.8	Non-C4	a020
422	SFB	SFB-2	C3	A	a	I	NA	SFB-2	-26.55	Non-C4	a021
423	SFB	SFB-3	C3	A	a	I	NA	SFB-3	-26.12	Non-C4	a022
424	SFB	SFB-4	C3	A	a	I	NA	SFB-4	-27.28	Non-C4	a023
425	SFB	SFB-5	C3	A	a	I	NA	SFB-5	-26.42	Non-C4	a024
426	TAN16-02	TAN16-02-01	Int	BC	bc	II	NA	TAN16-02-01	-24.62	Non-C4	b014
427	TAN16-02	TAN16-02-03	Int	BC	bc	II	NA	TAN16-02-03	-25.22	Non-C4	b015
428	TAN16-02	TAN16-02-05	Int	BC	bc	II	NA	TAN16-02-05	-27.81	Non-C4	b016
429	TAN16-02	TAN16-02-07	Int	BC	bc	II	NA	TAN16-02-07	-28.35	Non-C4	b017
430	TAN16-02	TAN16-02-09	Int	BC	bc	II	NA	TAN16-02-09	-25.82	Non-C4	b018
431	TAN16-03	TAN16-03-01	C4	FG	fg	IIIa	NA	TAN16-03-01	-12.03	C4	c004
432	TAN16-03	TAN16-03-05	C4	FG	fg	IIIa	NA	TAN16-03-05	-13.85	C4	c005
433	TAN16-03	TAN16-03-07	C4	FG	fg	IIIa	NA	TAN16-03-07	-14.59	C4	c006
434	ZAM15-01	ZAM15-01-10	C4	E	fg	IIIb	NA	ZAM15-01-10	-12.71	C4	d044
435	ZAM15-02	ZAM15-02-01	C4	E	fg	IIIb	NA	ZAM15-02-01	-12.2	C4	d045
436	ZAM15-03	ZAM15-03-02	Int	BC	bc	II	NA	ZAM15-03-02	-22.49	Non-C4	b031
437	ZAM15-03	ZAM15-03-07	Int	BC	bc	II	Int,mel?	ZAM15-03-07	-22.4	Non-C4	b032
438	ZAM15-03	ZAM15-03-08	Int	BC	bc	II	NA	ZAM15-03-08	-20.58	Non-C4	b033
439	ZAM15-03	ZAM15-03-09	Int	BC	bc	II	NA	ZAM15-03-09	-22.46	Non-C4	b034
440	ZAM15-04	ZAM15-04-01	C4	E	fg	IIIb	NA	ZAM15-04-01	-12.22	C4	d054
441	ZAM15-04	ZAM15-04-03	C4	E	fg	IIIb	NA	ZAM15-04-03	-12.63	C4	d055
442	ZAM15-04	ZAM15-04-05	C4	E	fg	IIIb	NA	ZAM15-04-05	-12.91	C4	d056
443	ZAM15-04	ZAM15-04-07	C4	E	fg	IIIb	NA	ZAM15-04-07	-13.53	C4	d057
444	ZAM15-04	ZAM15-04-10	C4	E	fg	IIIb	NA	ZAM15-04-10	-12.92	C4	d058
445	ZAM15-05	ZAM15-05-03	C4	FG	fg	IIIa	NA	ZAM15-05-03	-13.48	C4	c058
446	ZAM15-05	ZAM15-05-04	C4	FG	fg	IIIa	NA	ZAM15-05-04	-12.86	C4	c059
447	ZAM15-05	ZAM15-05-06	C4	FG	fg	IIIa	NA	ZAM15-05-06	-12.99	C4	c060
448	ZAM15-05	ZAM15-05-09	C4	FG	fg	IIIa	NA	ZAM15-05-09	-12.56	C4	c061
449	ZAM15-05	ZAM15-05-10	C4	FG	fg	IIIa	NA	ZAM15-05-10	-13.17	C4	c062
450	ZAM15-06	ZAM15-06-02	C4	E	fg	IIIb	NA	ZAM15-06-02	-11.8	C4	d059
451	ZAM15-07	ZAM15-07-02	Int	BC	bc	II	NA	ZAM15-07-02	-22.25	Non-C4	b036
452	ZAM15-07	ZAM15-07-08	Int	BC	bc	II	NA	ZAM15-07-08	-23.52	Non-C4	b037
453	ZAM15-07	ZAM15-07-14	Int	BC	bc	II	Int,mel?	ZAM15-07-14	-22.08	Non-C4	b038
454	ZAM15-07	ZAM15-07-15	Int	BC	bc	II	Int,mel?	ZAM15-07-15	-22.32	Non-C4	b039
455	ZAM15-07	ZAM15-07-18	Int	BC	bc	II	NA	ZAM15-07-18	-23.24	Non-C4	b040
456	ZAM15-08	ZAM15-08-09	C4	E	fg	IIIb	NA	ZAM15-08-09	-12.58	C4	d075
457	ZAM15-09	ZAM15-09-01	C4	E	fg	IIIb	NA	ZAM15-09-01	-13.6	C4	d078
458	ZIM15-03	ZIM15-03-01	C3	A	a	I	NA	ZIM15-03-01	-25.69	Non-C4	a060
459	ZIM15-03	ZIM15-03-03	C3	A	a	I	NA	ZIM15-03-03	-26.92	Non-C4	a061
460	ZIM15-03	ZIM15-03-05	C3	A	a	I	NA	ZIM15-03-05	-27.11	Non-C4	a062
461	ZIM15-03	ZIM15-03-07	C3	A	a	I	NA	ZIM15-03-07	-27.29	Non-C4	a063
462	ZIM15-03	ZIM15-03-09	C3	A	a	I	NA	ZIM15-03-09	-26.14	Non-C4	a064
463	ZIM15-04	ZIM15-04-01	C3	A	a	I	NA	ZIM15-04-01	-25.11	Non-C4	a065
464	ZIM15-04	ZIM15-04-08	C3	A	a	I	NA	ZIM15-04-08	-26.79	Non-C4	a066
465	ZIM15-04	ZIM15-04-17	C3	A	a	I	NA	ZIM15-04-16	-25.74	Non-C4	a067
466	ZIM15-04	ZIM15-04-33	C3	A	a	I	NA	ZIM15-04-17	-24.85	Non-C4	a068
467	ZIM15-04	ZIM15-04-64	C3	A	a	I	NA	ZIM15-04-64	-27.15	Non-C4	a069
468	ZAM19-32	ZAM19-32-11	C4	UK	UK	IIIb	NA	ZAM19-32-11	-11.91	C4	d159
469	ZAM19-32	ZAM19-32-16	C4	UK	UK	IIIb	NA	ZAM19-32-16	-12.42	C4	d160
470	ZAM19-32	ZAM19-32-17	C4	UK	UK	IIIb	NA	ZAM19-32-17	-13.38	C4	d161
471	ZAM19-32	ZAM19-32-18	C4	UK	UK	IIIb	NA	ZAM19-32-18	-11.82	C4	d162
472	ZAM19-32	ZAM19-32-19	C4	UK	UK	IIIb	NA	ZAM19-32-19	-12.24	C4	d163
473	ZAM19-55	ZAM19-55-01	C4	UK	UK	IIIb	NA	ZAM19-55-01	-11.93	C4	d199
474	ZAM19-55	ZAM19-55-02	UK	UK	UK	UK	NA	ZAM19-55-02	-13.04	C4	d200
475	ZAM19-55	ZAM19-55-03	C4	UK	UK	IIIb	NA	ZAM19-55-03	-11.76	C4	d201
476	ZAM19-55	ZAM19-55-04	C4	UK	UK	IIIb	NA	ZAM19-55-04	-13.57	C4	d202
477	ZAM19-55	ZAM19-55-05	UK	UK	UK	UK	NA	ZAM19-55-05	-12.4	C4	d203
478	ZAM19-56	ZAM19-56-12	C4	UK	UK	IIIb	NA	ZAM19-56-12	-11.57	C4	d204
479	ZAM19-56	ZAM19-56-14	C4	UK	UK	IIIb	NA	ZAM19-56-14	-12.16	C4	d205
480	ZAM19-56	ZAM19-56-16	C4	UK	UK	IIIb	NA	ZAM19-56-16	-14.31	C4	d206
481	ZAM19-56	ZAM19-56-19	C4	UK	UK	IIIb	NA	ZAM19-56-19	-11.05	C4	d207
482	ZAM19-56	ZAM19-56-20	C4	UK	UK	IIIb	NA	ZAM19-56-20	-11.42	C4	d208
483	ZAM19-34	ZAM19-34-01	C4	UK	UK	IIIb	NA	ZAM19-34-01	-12.08	C4	d164
484	ZAM19-34	ZAM19-34-02	C4	UK	UK	IIIb	NA	ZAM19-34-02	-12.27	C4	d165
485	ZAM19-34	ZAM19-34-04	C4	UK	UK	IIIb	NA	ZAM19-34-04	-11.87	C4	d166
486	ZAM19-34	ZAM19-34-05	C4	UK	UK	IIIb	NA	ZAM19-34-05	-12.17	C4	d167
487	ZAM19-34	ZAM19-34-06	C4	UK	UK	IIIb	NA	ZAM19-34-06	-12.31	C4	d168
488	ZAM19-35	ZAM19-35-01	C4	UK	UK	IIIb	NA	ZAM19-35-01	-12.85	C4	d169
489	ZAM19-35	ZAM19-35-02	C4	UK	UK	IIIb	NA	ZAM19-35-02	-13.42	C4	d170
490	ZAM19-35	ZAM19-35-04	C4	UK	UK	IIIb	NA	ZAM19-35-04	-14.75	C4	d171
491	ZAM19-35	ZAM19-35-06	C4	UK	UK	IIIb	NA	ZAM19-35-06	-13.07	C4	d172
492	ZAM19-35	ZAM19-35-07	C4	UK	UK	IIIb	NA	ZAM19-35-07	-13.3	C4	d173
493	ZAM19-36	ZAM19-36-01	Int	BC	bc	II	NA	ZAM19-36-01	-21.07	Non-C4	b058
494	ZAM19-36	ZAM19-36-05	Int	BC	bc	II	NA	ZAM19-36-05	-22.37	Non-C4	b059
495	ZAM19-36	ZAM19-36-07	Int	BC	bc	II	NA	ZAM19-36-07	-22.42	Non-C4	b060
496	ZAM19-36	ZAM19-36-15	Int	BC	bc	II	NA	ZAM19-36-15	-23.84	Non-C4	b061
497	ZAM19-36	ZAM19-36-19	Int	BC	bc	II	NA	ZAM19-36-19	-23.45	Non-C4	b063
498	ZAM19-37	ZAM19-37-01	C4	UK	UK	IIIb	NA	ZAM19-37-01	-12.98	C4	d174
499	ZAM19-37	ZAM19-37-02	C4	UK	UK	IIIb	NA	ZAM19-37-02	-11.61	C4	d175
500	ZAM19-37	ZAM19-37-03	C4	UK	UK	IIIb	NA	ZAM19-37-03	-11.55	C4	d176
501	ZAM19-37	ZAM19-37-04	C4	UK	UK	IIIb	NA	ZAM19-37-04	-11.96	C4	d177
502	ZAM19-37	ZAM19-37-05	C4	UK	UK	IIIb	NA	ZAM19-37-05	-12.57	C4	d178
503	ZAM19-39	ZAM19-39-01	Int	BC	bc	II	NA	ZAM19-39-01	-25.34	Non-C4	b062
504	ZAM19-39	ZAM19-39-02	Int	BC	bc	II	NA	ZAM19-39-02	-24.12	Non-C4	b064
505	ZAM19-39	ZAM19-39-03	Int	BC	bc	II	NA	ZAM19-39-03	-25.7	Non-C4	b065
506	ZAM19-39	ZAM19-39-04	Int	BC	bc	II	NA	ZAM19-39-04	-25.35	Non-C4	b066
507	ZAM19-39	ZAM19-39-05	Int	BC	bc	II	NA	ZAM19-39-05	-24.3	Non-C4	b067
508	ZAM19-40	ZAM19-40-01	Int	BC	bc	II	NA	ZAM19-40-01	-27.08	Non-C4	b068
509	ZAM19-40	ZAM19-40-04	Int	BC	bc	II	NA	ZAM19-40-04	-26.19	Non-C4	b069
510	ZAM19-40	ZAM19-40-05	Int	BC	bc	II	NA	ZAM19-40-05	-25.04	Non-C4	b070
511	ZAM19-40	ZAM19-40-06	Int	BC	bc	II	NA	ZAM19-40-06	-26.4	Non-C4	b071
512	ZAM19-40	ZAM19-40-07	Int	BC	bc	II	NA	ZAM19-40-07	-26.36	Non-C4	b072
513	ZAM19-41	ZAM19-41-01	Int	BC	bc	II	NA	ZAM19-41-01	-25.77	Non-C4	b073
514	ZAM19-41	ZAM19-41-02	Int	BC	bc	II	NA	ZAM19-41-02	-24.69	Non-C4	b074
515	ZAM19-41	ZAM19-41-03	Int	BC	bc	II	NA	ZAM19-41-03	-23.24	Non-C4	b075
516	ZAM19-41	ZAM19-41-06	Int	BC	bc	II	NA	ZAM19-41-06	-24.41	Non-C4	b076
517	ZAM19-41	ZAM19-41-07	Int	BC	bc	II	NA	ZAM19-41-07	-24.2	Non-C4	b077
518	ZAM19-47	ZAM19-47-01	C4	UK	UK	IIIb	NA	ZAM19-47-01	-12.23	C4	d179
519	ZAM19-47	ZAM19-47-02	C4	UK	UK	IIIb	NA	ZAM19-47-02	-10.74	C4	d180
520	ZAM19-47	ZAM19-47-03	C4	UK	UK	IIIb	NA	ZAM19-47-03	-11.64	C4	d181
521	ZAM19-47	ZAM19-47-04	C4	UK	UK	IIIb	NA	ZAM19-47-04	-11.99	C4	d182
522	ZAM19-47	ZAM19-47-05	C4	UK	UK	IIIb	NA	ZAM19-47-05	-11.97	C4	d183
523	ZAM19-48	ZAM19-48-01	C4	UK	UK	IIIb	NA	ZAM19-48-01	-13.1	C4	d184
524	ZAM19-48	ZAM19-48-02	C4	UK	UK	IIIb	NA	ZAM19-48-02	-11.94	C4	d185
525	ZAM19-48	ZAM19-48-03	C4	UK	UK	IIIb	NA	ZAM19-48-03	-12.54	C4	d186
526	ZAM19-48	ZAM19-48-04	C4	UK	UK	IIIb	NA	ZAM19-48-04	-11.87	C4	d187
527	ZAM19-48	ZAM19-48-05	C4	UK	UK	IIIb	NA	ZAM19-48-05	-12.54	C4	d188
528	ZAM19-49	ZAM19-49-01	C4	UK	UK	IIIb	NA	ZAM19-49-01	-12.81	C4	d189
529	ZAM19-49	ZAM19-49-10	C4	UK	UK	IIIb	NA	ZAM19-49-10	-12.46	C4	d190
530	ZAM19-49	ZAM19-49-11	C4	UK	UK	IIIb	NA	ZAM19-49-11	-11.7	C4	d191
531	ZAM19-49	ZAM19-49-12	C4	UK	UK	IIIb	NA	ZAM19-49-12	-12.37	C4	d192
532	ZAM19-49	ZAM19-49-13	C4	UK	UK	IIIb	NA	ZAM19-49-13	-13.07	C4	d193
533	ZAM19-51	ZAM19-51-01	C4	UK	UK	IIIb	NA	ZAM19-51-01	-12.37	C4	d194
534	ZAM19-51	ZAM19-51-02	C4	UK	UK	IIIb	NA	ZAM19-51-02	-12.86	C4	d195
535	ZAM19-51	ZAM19-51-03	C4	UK	UK	IIIb	NA	ZAM19-51-03	-11.23	C4	d196
536	ZAM19-51	ZAM19-51-04	C4	UK	UK	IIIb	NA	ZAM19-51-04	-11.13	C4	d197
537	ZAM19-51	ZAM19-51-07	C4	UK	UK	IIIb	NA	ZAM19-51-07	-11.45	C4	d198
538	ZAM19-57	ZAM19-57-01	Int	BC	bc	II	NA	ZAM19-57-01	-21	Non-C4	b078
539	ZAM19-57	ZAM19-57-12	C4	UK	UK	IIIb	NA	ZAM19-57-12	-11.22	C4	d209
540	ZAM19-57	ZAM19-57-13	C4	UK	UK	IIIb	NA	ZAM19-57-13	-11.34	C4	d210
541	ZAM19-57	ZAM19-57-14	C4	UK	UK	IIIb	NA	ZAM19-57-14	-11.08	C4	d211
542	ZAM19-57	ZAM19-57-15	C4	UK	UK	IIIb	NA	ZAM19-57-15	-12.62	C4	d212
543	ZAM19-58	ZAM19-58-01	C4	UK	UK	II	NA	ZAM19-58-01	-15.9	C4	b079
544	ZAM19-58	ZAM19-58-02	C5	UK	UK	II	NA	ZAM19-58-02	-14.4	C4	b080
545	ZAM19-58	ZAM19-58-03	C6	UK	UK	II	NA	ZAM19-58-03	-13.84	C4	b081
546	ZAM19-58	ZAM19-58-04	C7	UK	UK	II	NA	ZAM19-58-04	-13.82	C4	b082
547	ZAM19-58	ZAM19-58-05	C8	UK	UK	II	NA	ZAM19-58-05	-14.96	C4	b083
548	ZAM19-60	ZAM19-60-01	Int	BC	bc	II	NA	ZAM19-60-01	-24.93	Non-C4	b084
549	ZAM19-60	ZAM19-60-02	Int	BC	bc	II	NA	ZAM19-60-02	-24.97	Non-C4	b085
550	ZAM19-60	ZAM19-60-03	Int	BC	bc	II	NA	ZAM19-60-03	-23.12	Non-C4	b086
551	ZAM19-61	ZAM19-61-01	Int	BC	bc	II	NA	ZAM19-61-01	-25.55	Non-C4	b087
552	ZAM19-61	ZAM19-61-02	Int	BC	bc	II	NA	ZAM19-61-02	-25.7	Non-C4	b088
553	ZAM19-61	ZAM19-61-03	Int	BC	bc	II	NA	ZAM19-61-03	-24.82	Non-C4	b089
554	ZAM19-61	ZAM19-61-04	Int	BC	bc	II	NA	ZAM19-61-04	-24.68	Non-C4	b090
555	ZAM19-61	ZAM19-61-05	Int	BC	bc	II	NA	ZAM19-61-05	-23.74	Non-C4	b091
556	ZAM19-62	ZAM19-62-01	C4	UK	UK	IIIb	NA	ZAM19-62-01	-13.49	C4	d213
557	ZAM19-54	ZAM19-54-01	UK	UK	UK	IV	NA	ZAM19-54-01	-14.14	C4	e005
558	ZAM19-54	ZAM19-54-02	UK	UK	UK	IV	NA	ZAM19-54-02	-13.31	C4	e006
559	ZAM19-54	ZAM19-54-03	UK	UK	UK	IV	NA	ZAM19-54-03	-13.74	C4	e007
560	ZAM19-54	ZAM19-54-04	UK	UK	UK	IV	NA	ZAM19-54-04	-13.89	C4	e008
561	ZAM19-54	ZAM19-54-05	UK	UK	UK	IV	NA	ZAM19-54-05	-14.31	C4	e009
